"amount","freq","HPA","ask1","ask2","ask3","control","treatment","ask","ratio","size","gave","sizeno","years","couple","female","redcty","bluecty","askd1","askd2","askd3","cases","nonlit","ratio2","ratio3","size25","size50","size100","MRM2","dormant","ltmedMRA","red0","blue0","close25","amountchange"
0,32,500,750,950,1125,0,1,1,1,1,0,0,19,0,0,0,1,1,0,0,1,1,0,0,1,0,0,19,1,0,1,0,0,-150
0,22,300,500,625,750,1,0,0,0,0,0,0,19,0,1,1,0,0,0,0,2,6,0,0,0,0,0,29,1,0,1,0,0,-100
0,22,500,750,950,1125,1,0,0,0,0,0,0,19,0,1,1,0,0,0,0,1,0,0,0,0,0,0,3,0,0,1,0,0,-218
0,29,250,500,625,750,0,1,3,3,2,0,0,19,1,0,0,1,0,0,1,3,4,0,1,0,1,0,4,0,0,0,1,0,-50
0,17,50,55,70,85,0,1,3,2,4,0,1,19,0,0,1,0,0,0,1,2,1,1,0,0,0,0,8,1,0,0,1,0,-50
0,4,25,35,45,55,0,1,1,1,3,0,0,13,,,0,1,1,0,0,1,3,0,0,0,0,1,26,1,1,0,1,0,-5
0,10,35,45,60,70,1,0,0,0,0,0,0,14,0,1,0,1,0,0,0,4,5,0,0,0,0,0,28,1,1,0,1,1,-18
0,20,300,500,625,750,0,1,1,2,3,0,0,19,0,0,1,0,1,0,0,2,1,1,0,0,0,1,11,1,0,1,0,0,-200
0,8,100,125,160,190,0,1,3,3,3,0,0,13,,,0,1,0,0,1,0,4,0,1,0,0,1,30,1,1,1,0,1,-25
0,14,50,55,70,85,0,1,2,1,3,0,0,19,,,1,0,0,1,0,2,6,0,0,0,0,1,17,1,0,1,0,0,-50
0,8,50,55,70,85,0,1,1,2,1,0,0,8,0,0,0,1,1,0,0,0,4,1,0,1,0,0,6,0,0,1,0,1,-50
0,10,100,125,160,190,1,0,0,0,0,0,0,18,0,1,1,0,0,0,0,1,1,0,0,0,0,0,69,1,0,1,0,1,-75
0,14,35,45,60,70,0,1,1,3,4,0,1,19,0,1,1,0,1,0,0,1,0,0,1,0,0,0,30,1,1,0,1,1,-20
0,5,90,25,35,50,0,1,2,1,4,0,1,19,,,1,0,0,1,0,0,0,0,0,0,0,0,13,1,1,1,0,0,-25
0,24,1000,1500,1875,2250,0,1,3,1,3,0,0,19,,,1,0,0,0,1,1,0,0,0,0,0,1,5,0,0,1,0,0,-500
0,15,500,750,950,1125,1,0,0,0,0,0,0,19,1,0,1,0,0,0,0,1,0,0,0,0,0,0,20,1,0,1,0,0,-250
0,26,50,55,70,85,0,1,1,3,3,0,0,19,0,0,1,0,1,0,0,2,1,0,1,0,0,1,28,1,0,0,1,0,-40
0,31,1000,1500,1875,2250,0,1,3,1,2,0,0,19,1,0,0,1,0,0,1,1,3,0,0,0,1,0,27,1,1,0,1,0,-25
0,19,250,500,625,750,0,1,2,2,4,0,1,19,1,0,0,1,0,1,0,2,1,1,0,0,0,0,8,1,0,1,0,0,-250
0,10,45,55,70,85,0,1,2,3,2,0,0,19,,,1,0,0,1,0,1,0,0,1,0,1,0,27,1,0,1,0,0,-45
0,5,55,65,85,100,0,1,1,3,2,0,0,19,0,0,0,1,1,0,0,3,1,0,1,0,1,0,3,0,0,1,0,0,-55
